Date,Number of lots,Sale total
28-5-2018,50,NA
27-5-2018,91,NA
27-5-2018,66,NA
27-5-2018,86,NA
26-5-2018,176,NA
25-5-2018,64,NA
24-5-2018,72,NA
22-5-2018,120,NA
22-5-2018,57,NA
22-5-2018,112,NA
21-5-2018,127,NA
21-5-2018,185,NA
21-5-2018,21,3331125
21-5-2018,63,NA
21-5-2018,26,NA
21-5-2018,58,NA
21-5-2018,155,NA
21-5-2018,87,NA
21-5-2018,70,NA
21-5-2018,78,NA
20-5-2018,79,NA
20-5-2018,62,NA
20-5-2018,85,NA
19-5-2018,187,NA
19-5-2018,29,20450
19-5-2018,156,NA
17-5-2018,129,NA
17-5-2018,56,NA
17-5-2018,111,NA
16-5-2018,65,NA
16-5-2018,353,NA
16-5-2018,58,NA
16-5-2018,84,NA
16-5-2018,72,NA
15-5-2018,136,NA
15-5-2018,26,NA
15-5-2018,31,NA
15-5-2018,95,40400
15-5-2018,110,46192
15-5-2018,94,NA
15-5-2018,51,NA
14-5-2018,151,179533
14-5-2018,231,NA
14-5-2018,96,NA
14-5-2018,33,NA
14-5-2018,65,NA
14-5-2018,290,NA
14-5-2018,30,4650
13-5-2018,45,NA
09-5-2018,88,NA
09-5-2018,66,NA
09-5-2018,93,NA
08-5-2018,39,NA
08-5-2018,75,NA
07-5-2018,185,NA
07-5-2018,44,NA
07-5-2018,21,3150
07-5-2018,364,1118379
06-5-2018,111,NA
05-5-2018,456,NA
04-5-2018,339,280800
02-5-2018,152,2266125
01-5-2018,142,NA
01-5-2018,112,NA
01-5-2018,84,NA
01-5-2018,74,NA
30-4-2018,190,NA
30-4-2018,213,NA
30-4-2018,66,NA
29-4-2018,82,NA
28-4-2018,29,10500
24-4-2018,94,NA
24-4-2018,227,NA
23-4-2018,243,NA
23-4-2018,184,NA
23-4-2018,72,NA
22-4-2018,100,NA
21-4-2018,20,15150
20-4-2018,87,191050
17-4-2018,68,NA
17-4-2018,36,NA
17-4-2018,91,NA
16-4-2018,181,NA
15-4-2018,89,NA
11-4-2018,57,NA
11-4-2018,88,NA
10-4-2018,100,28300
10-4-2018,46,13812250
10-4-2018,73,NA
10-4-2018,187,NA
09-4-2018,160,NA
09-4-2018,51,NA
09-4-2018,26,5400
09-4-2018,201,NA
08-4-2018,127,NA
08-4-2018,93,NA
07-4-2018,30,29650
05-4-2018,115,NA
05-4-2018,100,NA
05-4-2018,41,NA
04-4-2018,37,NA
02-4-2018,146,NA
02-4-2018,24,NA
02-4-2018,72,NA
02-4-2018,216,NA
01-4-2018,270,NA
01-4-2018,72,NA
31-3-2018,119,NA
31-3-2018,80,NA
31-3-2018,147,NA
31-3-2018,184,NA
30-3-2018,53,NA
30-3-2018,38,NA
28-3-2018,69,NA
28-3-2018,92,NA
28-3-2018,37,NA
27-3-2018,106,NA
27-3-2018,184,NA
27-3-2018,305,NA
27-3-2018,171,NA
27-3-2018,179,NA
27-3-2018,186,416760
26-3-2018,213,NA
26-3-2018,193,NA
26-3-2018,208,693900
26-3-2018,262,50898
26-3-2018,31,14040
26-3-2018,95,725090
26-3-2018,201,NA
26-3-2018,131,NA
26-3-2018,107,1768188
25-3-2018,73,2960630
25-3-2018,103,NA
24-3-2018,47,NA
24-3-2018,88,3063000
23-3-2018,119,1991314
23-3-2018,46,NA
22-3-2018,83,8449500
22-3-2018,28,5313250
22-3-2018,66,8601750
22-3-2018,206,NA
22-3-2018,299,403245
22-3-2018,22,46737
21-3-2018,78,NA
21-3-2018,70,1877500
21-3-2018,96,3413625
21-3-2018,138,5813625
21-3-2018,73,NA
20-3-2018,67,NA
20-3-2018,143,NA
20-3-2018,216,360775
20-3-2018,113,2211625
20-3-2018,67,NA
20-3-2018,49,NA
20-3-2018,35,30634
20-3-2018,104,NA
20-3-2018,117,5394994
20-3-2018,108,70390
19-3-2018,248,NA
19-3-2018,176,NA
19-3-2018,82,NA
19-3-2018,209,NA
18-3-2018,77,NA
18-3-2018,35,NA
18-3-2018,72,NA
16-3-2018,441,1257550
15-3-2018,594,229390
14-3-2018,53,NA
13-3-2018,112,80934
13-3-2018,128,NA
13-3-2018,50,NA
12-3-2018,157,NA
12-3-2018,213,NA
12-3-2018,24,8870
12-3-2018,59,NA
11-3-2018,105,NA
10-3-2018,25,8550
06-3-2018,150,NA
05-3-2018,104,NA
05-3-2018,28,20477
05-3-2018,238,NA
04-3-2018,83,NA
02-3-2018,107,87550
02-3-2018,73,NA
01-3-2018,259,NA
01-3-2018,173,74904
28-2-2018,320,NA
28-2-2018,84,NA
28-2-2018,262,NA
27-2-2018,21,NA
27-2-2018,164,NA
27-2-2018,125,NA
27-2-2018,81,NA
27-2-2018,40,NA
27-2-2018,180,1348752
27-2-2018,85,23100
27-2-2018,173,NA
27-2-2018,142,223975
27-2-2018,122,NA
26-2-2018,241,NA
26-2-2018,112,NA
26-2-2018,151,NA
